주문번호,주문일자,고객ID,상품코드,수량
ORD00331,2024-07-01,C032,P010,1
ORD00332,2024-07-02,C015,P006,2
ORD00333,2024-07-02,C016,P012,1
ORD00334,2024-07-02,C022,P007,1
ORD00335,2024-07-03,C028,P007,5
ORD00336,2024-07-03,C020,P001,2
ORD00337,2024-07-03,C033,P015,5
ORD00338,2024-07-04,C010,P002,2
ORD00339,2024-07-05,C040,P003,5
ORD00340,2024-07-06,C032,P001,1
ORD00341,2024-07-06,C050,P009,1
ORD00342,2024-07-07,C033,P003,2
ORD00343,2024-07-07,C002,P002,1
ORD00344,2024-07-08,C033,P002,2
ORD00345,2024-07-08,C033,P002,1
ORD00346,2024-07-09,C041,P008,1
ORD00347,2024-07-10,C013,P009,2
ORD00348,2024-07-10,C030,P005,2
ORD00349,2024-07-11,C033,P006,1
ORD00350,2024-07-11,C013,P009,3
ORD00351,2024-07-11,C026,P001,1
ORD00352,2024-07-11,C022,P004,1
ORD00353,2024-07-12,C039,P015,2
ORD00354,2024-07-12,C002,P008,1
ORD00355,2024-07-12,C038,P003,1
ORD00356,2024-07-13,C039,P007,1
ORD00357,2024-07-13,C026,P004,3
ORD00358,2024-07-13,C046,P007,2
ORD00359,2024-07-14,C050,P002,1
ORD00360,2024-07-15,C015,P002,5
ORD00361,2024-07-15,C034,P002,2
ORD00362,2024-07-15,C042,P014,1
ORD00363,2024-07-15,C044,P010,1
ORD00364,2024-07-17,C049,P002,1
ORD00365,2024-07-17,C040,P002,2
ORD00366,2024-07-17,C011,P010,2
ORD00367,2024-07-17,C003,P002,2
ORD00368,2024-07-17,C006,P003,3
ORD00369,2024-07-17,C009,P015,3
ORD00370,2024-07-18,C006,P003,1
ORD00371,2024-07-18,C009,P009,3
ORD00372,2024-07-19,C039,P015,5
ORD00373,2024-07-19,C031,P005,1
ORD00374,2024-07-20,C032,P001,2
ORD00375,2024-07-20,C041,P003,2
ORD00376,2024-07-21,C050,P012,1
ORD00377,2024-07-21,C012,P012,3
ORD00378,2024-07-22,C008,P010,5
ORD00379,2024-07-22,C008,P002,1
ORD00380,2024-07-22,C050,P011,1
ORD00381,2024-07-22,C028,P013,5
ORD00382,2024-07-23,C020,P008,1
ORD00383,2024-07-24,C047,P014,5
ORD00384,2024-07-24,C007,P011,1
ORD00385,2024-07-25,C011,P009,1
ORD00386,2024-07-25,C020,P008,5
ORD00387,2024-07-26,C016,P004,2
ORD00388,2024-07-27,C004,P002,2
ORD00389,2024-07-27,C006,P008,3
ORD00390,2024-07-27,C022,P004,1
ORD00391,2024-07-27,C026,P012,1
ORD00392,2024-07-27,C003,P015,5
ORD00393,2024-07-28,C041,P010,2
ORD00394,2024-07-29,C042,P002,2
ORD00395,2024-07-29,C014,P003,1
ORD00396,2024-07-29,C011,P002,5
ORD00397,2024-07-29,C018,P009,5
ORD00398,2024-07-29,C012,P010,1
ORD00399,2024-07-30,C023,P014,1
ORD00400,2024-07-30,C012,P005,1
ORD00401,2024-07-31,C013,P013,2
ORD00402,2024-07-31,C025,P012,2
ORD00403,2024-08-01,C045,P004,1
ORD00404,2024-08-01,C019,P012,2
ORD00405,2024-08-01,C046,P005,2
ORD00406,2024-08-01,C036,P003,1
ORD00407,2024-08-02,C045,P009,5
ORD00408,2024-08-02,C008,P004,3
ORD00409,2024-08-03,C029,P008,5
ORD00410,2024-08-04,C032,P008,1
ORD00411,2024-08-04,C044,P008,2
ORD00412,2024-08-05,C018,P005,5
ORD00413,2024-08-06,C006,P007,1
ORD00414,2024-08-07,C018,P008,2
ORD00415,2024-08-07,C019,P007,1
ORD00416,2024-08-07,C022,P006,1
ORD00417,2024-08-07,C037,P001,2
ORD00418,2024-08-08,C032,P008,2
ORD00419,2024-08-08,C041,P002,1
ORD00420,2024-08-08,C003,P009,1
ORD00421,2024-08-09,C028,P010,3
ORD00422,2024-08-10,C010,P007,1
ORD00423,2024-08-10,C035,P007,2
ORD00424,2024-08-10,C029,P014,1
ORD00425,2024-08-11,C015,P012,1
ORD00426,2024-08-11,C033,P013,2
ORD00427,2024-08-13,C007,P011,1
ORD00428,2024-08-14,C012,P002,1
ORD00429,2024-08-14,C049,P002,1
ORD00430,2024-08-14,C030,P007,1
ORD00431,2024-08-15,C021,P003,1
ORD00432,2024-08-15,C031,P006,1
ORD00433,2024-08-15,C024,P005,1
