주문번호,주문일자,고객ID,상품코드,수량
ORD00151,2024-04-01,C029,P012,2
ORD00152,2024-04-01,C038,P012,2
ORD00153,2024-04-02,C033,P005,1
ORD00154,2024-04-02,C037,P007,2
ORD00155,2024-04-03,C027,P003,2
ORD00156,2024-04-03,C033,P002,2
ORD00157,2024-04-04,C004,P007,1
ORD00158,2024-04-04,C022,P008,1
ORD00159,2024-04-04,C002,P004,5
ORD00160,2024-04-05,C010,P008,5
ORD00161,2024-04-05,C005,P013,1
ORD00162,2024-04-05,C010,P007,3
ORD00163,2024-04-06,C033,P010,1
ORD00164,2024-04-06,C038,P011,1
ORD00165,2024-04-06,C013,P015,2
ORD00166,2024-04-06,C031,P008,1
ORD00167,2024-04-06,C047,P011,3
ORD00168,2024-04-07,C036,P015,3
ORD00169,2024-04-08,C045,P014,1
ORD00170,2024-04-08,C024,P002,2
ORD00171,2024-04-09,C015,P005,1
ORD00172,2024-04-09,C029,P004,2
ORD00173,2024-04-09,C008,P002,1
ORD00174,2024-04-10,C005,P008,1
ORD00175,2024-04-10,C029,P010,2
ORD00176,2024-04-10,C047,P012,2
ORD00177,2024-04-11,C004,P002,5
ORD00178,2024-04-11,C012,P012,2
ORD00179,2024-04-12,C045,P009,1
ORD00180,2024-04-13,C002,P010,1
ORD00181,2024-04-13,C027,P013,1
ORD00182,2024-04-14,C031,P008,2
ORD00183,2024-04-14,C036,P004,2
ORD00184,2024-04-14,C036,P011,1
ORD00185,2024-04-15,C026,P005,5
ORD00186,2024-04-15,C043,P001,1
ORD00187,2024-04-15,C027,P012,2
ORD00188,2024-04-15,C005,P004,2
ORD00189,2024-04-17,C020,P011,3
ORD00190,2024-04-17,C011,P005,1
ORD00191,2024-04-17,C010,P012,3
ORD00192,2024-04-17,C040,P003,1
ORD00193,2024-04-18,C038,P015,1
ORD00194,2024-04-18,C006,P011,5
ORD00195,2024-04-18,C008,P002,1
ORD00196,2024-04-19,C023,P008,1
ORD00197,2024-04-20,C047,P015,1
ORD00198,2024-04-21,C026,P006,1
ORD00199,2024-04-22,C046,P002,2
ORD00200,2024-04-22,C043,P006,2
ORD00201,2024-04-23,C012,P007,2
ORD00202,2024-04-23,C026,P010,1
ORD00203,2024-04-24,C013,P009,1
ORD00204,2024-04-24,C040,P005,2
ORD00205,2024-04-24,C018,P003,3
ORD00206,2024-04-25,C025,P009,5
ORD00207,2024-04-25,C033,P005,3
ORD00208,2024-04-25,C047,P002,2
ORD00209,2024-04-26,C040,P013,5
ORD00210,2024-04-26,C043,P009,1
ORD00211,2024-04-26,C012,P009,2
ORD00212,2024-04-26,C044,P011,2
ORD00213,2024-04-27,C036,P007,1
ORD00214,2024-04-28,C048,P011,1
ORD00215,2024-04-29,C004,P007,3
ORD00216,2024-04-30,C005,P001,1
